sid,Value,age,dialect,trial_type,item,group,variant,clause1voice,clause2voice,mismatch,clause1,clause2,sentence
10,3,23,American English,experimental,10,A,[P ← A],passive,active,TRUE,Before the Chief of Police was,the newspaper interviewed the Mayor,Before the Chief of Police was%2C the newspaper interviewed the Mayor.
10,3,23,American English,filler,43,A,lower-bound non-elliptical,NA,NA,NA,,,Who did the press secretary ask a question before we interviewed?
10,4,23,American English,filler,7,A,upper-bound elliptical,NA,NA,NA,,,Your son was worried that you'll be angry so I told him you won't.
10,3,23,American English,experimental,2,A,[P ← A],passive,active,TRUE,Before the confession was,the judge read the report first,Before the confession was%2C the judge read the report first.
10,5,23,American English,filler,25,A,upper-bound non-elliptical,NA,NA,NA,,,I can't hear the announcement but I don't care.
10,5,23,American English,filler,33,A,upper-bound non-elliptical,NA,NA,NA,,,Most readers didn't expect the final plot twist.
10,2,23,American English,experimental,19,A,[A ← A],active,active,FALSE,After the critic did already,the customer praised the dessert,After the critic did already%2C the customer praised the dessert.
10,2,23,American English,filler,16,A,lower-bound elliptical,NA,NA,NA,,,Bill admires Sarah more than she is by anyone else.
10,5,23,American English,filler,32,A,upper-bound non-elliptical,NA,NA,NA,,,The cellist made a mistake in her favorite piece.
10,3,23,American English,experimental,3,A,[A ← A],active,active,FALSE,Before the President did,the Mayor first praised the fireman,Before the President did%2C the Mayor first praised the fireman.
10,5,23,American English,filler,30,A,upper-bound non-elliptical,NA,NA,NA,,,The older daughter taught her younger sister how to cook.
10,5,23,American English,filler,6,A,upper-bound elliptical,NA,NA,NA,,,This is fascinating%2C it really is.
10,3,23,American English,experimental,6,A,[P ← A],passive,active,TRUE,Before her sister was,Mary’s French grandmother gave her French classes,Before her sister was%2C Mary’s French grandmother gave her French classes.
10,5,23,American English,filler,11,A,upper-bound elliptical,NA,NA,NA,,,John knew he would fall asleep eventually%2C but he didn't know when.
10,3,23,American English,filler,24,A,lower-bound elliptical,NA,NA,NA,,,Hailey melted the copper vase%2C and the magnesium one did%2C too.
10,3,23,American English,experimental,23,A,[A ← A],active,active,FALSE,After the department secretary did previously,the department head called the library,After the department secretary did previously%2C the department head called the library.
10,3,23,American English,filler,13,A,lower-bound elliptical,NA,NA,NA,,,A proof that God exists doesn't.
10,5,23,American English,filler,1,A,upper-bound elliptical,NA,NA,NA,,,The reporter claimed that the decision wasn't made by the president%2C even though it most definitely was.
10,3,23,American English,experimental,22,A,[P ← A],passive,active,TRUE,After the chef’s private notes were already,Kate revealed the secret recipe,After the chef’s private notes were already%2C Kate revealed the secret recipe.
10,5,23,American English,filler,34,A,upper-bound non-elliptical,NA,NA,NA,,,Environmentally aware citizens recycle plastic bags.
10,3,23,American English,filler,5,A,upper-bound elliptical,NA,NA,NA,,,The lawyer became angry and he shouldn't have.
10,3,23,American English,experimental,7,A,[A ← A],active,active,FALSE,Before the credit union did,Susan’s bank offered her a loan,Before the credit union did%2C Susan’s bank offered her a loan.
10,5,23,American English,filler,27,A,upper-bound non-elliptical,NA,NA,NA,,,Stop me when my time is up!
10,2,23,American English,filler,48,A,lower-bound non-elliptical,NA,NA,NA,,,The author wasn't sure who she heard who ran into.
10,3,23,American English,experimental,5,A,[A ← P],active,passive,TRUE,Before the advisor did,the student was praised by the old schoolmaster,Before the advisor did%2C the student was praised by the old schoolmaster.
10,4,23,American English,filler,12,A,upper-bound elliptical,NA,NA,NA,,,Mr. Jones lost his wallet and he has no idea where.
10,5,23,American English,filler,10,A,upper-bound elliptical,NA,NA,NA,,,If you really want to%2C we can get some ice cream on the way.
10,2,23,American English,experimental,4,A,[P ← P],passive,passive,FALSE,Before the loser was,the winner was hugged by the talk-show host,Before the loser was%2C the winner was hugged by the talk-show host.
10,1,23,American English,filler,38,A,lower-bound non-elliptical,NA,NA,NA,,,Whose didn't you get email?
10,2,23,American English,filler,15,A,lower-bound elliptical,NA,NA,NA,,,Beth's mother invited more people to her wedding than were by Beth herself.
10,2,23,American English,experimental,12,A,[P ← P],passive,passive,FALSE,Before the head nurse was,the doctor was blamed by the child’s parents,Before the head nurse was%2C the doctor was blamed by the child’s parents.
10,2,23,American English,filler,21,A,lower-bound elliptical,NA,NA,NA,,,Betsy did after Peter went to the store.
6,5,51,American English,filler,27,B,upper-bound non-elliptical,NA,NA,NA,,,Stop me when my time is up!
6,4,51,American English,experimental,8,B,[A ← P],active,passive,TRUE,Before the lawyer did,the witness was surprised by the policeman’s question,Before the lawyer did%2C the witness was surprised by the policeman’s question.
6,1,51,American English,filler,38,B,lower-bound non-elliptical,NA,NA,NA,,,Whose didn't you get email?
6,2,51,American English,filler,22,B,lower-bound elliptical,NA,NA,NA,,,That Harry is a fool bothers Dick%2C and that Bill is a fool Sam.
6,3,51,American English,experimental,17,B,[P ← A],passive,active,TRUE,After the lead singer herself was earlier,the audience booed the guitarist,After the lead singer herself was earlier%2C the audience booed the guitarist.
6,5,51,American English,filler,34,B,upper-bound non-elliptical,NA,NA,NA,,,Environmentally aware citizens recycle plastic bags.
6,5,51,American English,filler,33,B,upper-bound non-elliptical,NA,NA,NA,,,Most readers didn't expect the final plot twist.
6,5,51,American English,experimental,10,B,[A ← A],active,active,FALSE,Before the TV networks did,the newspaper interviewed the Mayor,Before the TV networks did%2C the newspaper interviewed the Mayor.
6,2,51,American English,filler,19,B,lower-bound elliptical,NA,NA,NA,,,I know why it happened but it wasn't.
6,2,51,American English,filler,46,B,lower-bound non-elliptical,NA,NA,NA,,,What do you wish that to buy would be no problem?
6,2,51,American English,experimental,5,B,[P ← A],passive,active,TRUE,Before the Teaching Assistant was,the old schoolmaster praised the student,Before the Teaching Assistant was%2C the old schoolmaster praised the student.
6,4,51,American English,filler,6,B,upper-bound elliptical,NA,NA,NA,,,This is fascinating%2C it really is.
6,5,51,American English,filler,31,B,upper-bound non-elliptical,NA,NA,NA,,,The soccer player was happy with his performance.
6,2,51,American English,experimental,20,B,[A ← P],active,passive,TRUE,After Sally did previously,the house was photographed by Jill,After Sally did previously%2C the house was photographed by Jill.
6,1,51,American English,filler,47,B,lower-bound non-elliptical,NA,NA,NA,,,Don't do what he who doesn't hasn't yet been done.
6,3,51,American English,filler,23,B,lower-bound elliptical,NA,NA,NA,,,Joe was murdered%2C but we don't know who.
6,4,51,American English,experimental,11,B,[P ← P],passive,passive,FALSE,Before the witness was,the suspect was questioned by the police,Before the witness was%2C the suspect was questioned by the police.
6,5,51,American English,filler,32,B,upper-bound non-elliptical,NA,NA,NA,,,The cellist made a mistake in her favorite piece.
6,5,51,American English,filler,30,B,upper-bound non-elliptical,NA,NA,NA,,,The older daughter taught her younger sister how to cook.
6,3,51,American English,experimental,2,B,[A ← A],active,active,FALSE,Before the lawyer did,the judge read the report first,Before the lawyer did%2C the judge read the report first.
6,5,51,American English,filler,11,B,upper-bound elliptical,NA,NA,NA,,,John knew he would fall asleep eventually%2C but he didn't know when.
6,3,51,American English,filler,39,B,lower-bound non-elliptical,NA,NA,NA,,,Most photographers forget whose they took picture within a day.
6,2,51,American English,experimental,16,B,[A ← P],active,passive,TRUE,After the Germans did previously,the volleyball team was beaten by the Cubans,After the Germans did previously%2C the volleyball team was beaten by the Cubans.
6,3,51,American English,filler,41,B,lower-bound non-elliptical,NA,NA,NA,,,The police found the painting that the journalist claimed who stole.
6,2,51,American English,filler,45,B,lower-bound non-elliptical,NA,NA,NA,,,The mechanic didn't know what the attempt to repair ultimately damaged the car.
6,2,51,American English,experimental,9,B,[P ← A],passive,active,TRUE,Before the metal workers were,the local business exploited the autoworkers,Before the metal workers were%2C the local business exploited the autoworkers.
6,5,51,American English,filler,28,B,upper-bound non-elliptical,NA,NA,NA,,,Sometimes Susan has a hard time keeping up in class.
6,4,51,American English,filler,7,B,upper-bound elliptical,NA,NA,NA,,,Your son was worried that you'll be angry so I told him you won't.
6,2,51,American English,experimental,18,B,[A ← A],active,active,FALSE,After the buyer did already,the seller criticized the table,After the buyer did already%2C the seller criticized the table.
6,5,51,American English,filler,36,B,upper-bound non-elliptical,NA,NA,NA,,,You enjoy Action TV shows while I prefer documentaries.
6,2,51,American English,filler,18,B,lower-bound elliptical,NA,NA,NA,,,Kevin's diaper may be wet%2C but he won't.
6,2,51,American English,experimental,19,B,[P ← P],passive,passive,FALSE,After the appetizer was already,the dessert was praised by the customer,After the appetizer was already%2C the dessert was praised by the customer.
6,3,51,American English,filler,16,B,lower-bound elliptical,NA,NA,NA,,,Bill admires Sarah more than she is by anyone else.
6,1,51,American English,filler,37,B,lower-bound non-elliptical,NA,NA,NA,,,If it hasn't dark%2C it is easier to saw pedestrians.
6,3,51,American English,experimental,6,B,[A ← A],active,active,FALSE,Before her French aunt did,Mary’s French grandmother gave her French classes,Before her French aunt did%2C Mary’s French grandmother gave her French classes.
6,4,51,American English,filler,12,B,upper-bound elliptical,NA,NA,NA,,,Mr. Jones lost his wallet and he has no idea where.
6,4,51,American English,filler,17,B,lower-bound elliptical,NA,NA,NA,,,Most people can't lift heavy rocks%2C but I know a guy who can and bend a crowbar%2C too.
6,2,51,American English,experimental,21,B,[P ← A],passive,active,TRUE,After the 200 meter one was previously,Phelps broke the 400 meter record,After the 200 meter one was previously%2C Phelps broke the 400 meter record.
6,5,51,American English,filler,25,B,upper-bound non-elliptical,NA,NA,NA,,,I can't hear the announcement but I don't care.
6,3,51,American English,filler,20,B,lower-bound elliptical,NA,NA,NA,,,Does he understand why and who didn't?
6,2,51,American English,experimental,24,B,[A ← P],active,passive,TRUE,After the professor did already,the local writers were criticized by Tom,After the professor did already%2C the local writers were criticized by Tom.
6,5,51,American English,filler,2,B,upper-bound elliptical,NA,NA,NA,,,The thief was arrested and his brother was as well.
6,5,51,American English,filler,10,B,upper-bound elliptical,NA,NA,NA,,,If you really want to%2C we can get some ice cream on the way.
6,2,51,American English,experimental,4,B,[A ← P],active,passive,TRUE,Before the announcer did,the winner was hugged by the talk-show host,Before the announcer did%2C the winner was hugged by the talk-show host.
6,3,51,American English,filler,43,B,lower-bound non-elliptical,NA,NA,NA,,,Who did the press secretary ask a question before we interviewed?
6,1,51,American English,filler,44,B,lower-bound non-elliptical,NA,NA,NA,,,The man wondered whether is worth reading what for him.
6,1,51,American English,experimental,13,B,[P ← A],passive,active,TRUE,After Jill was already,Bill pushed the new girl again,After Jill was already%2C Bill pushed the new girl again.
6,2,51,American English,filler,40,B,lower-bound non-elliptical,NA,NA,NA,,,What did you meet a janitor that hates?
6,2,51,American English,filler,13,B,lower-bound elliptical,NA,NA,NA,,,A proof that God exists doesn't.
6,2,51,American English,experimental,3,B,[P ← P],passive,passive,FALSE,Before the policeman was,the fireman was first praised by the Mayor,Before the policeman was%2C the fireman was first praised by the Mayor.
6,3,51,American English,filler,15,B,lower-bound elliptical,NA,NA,NA,,,Beth's mother invited more people to her wedding than were by Beth herself.
6,4,51,American English,filler,3,B,upper-bound elliptical,NA,NA,NA,,,I wish I knew where the remote control is%2C but I don't.
6,2,51,American English,experimental,1,B,[P ← A],passive,active,TRUE,Before her sister was,Mary’s father scolded her,Before her sister was%2C Mary’s father scolded her.
6,5,51,American English,filler,4,B,upper-bound elliptical,NA,NA,NA,,,Some guests brought drinks to the party although they didn't have to.
6,3,51,American English,filler,21,B,lower-bound elliptical,NA,NA,NA,,,Betsy did after Peter went to the store.
6,2,51,American English,experimental,7,B,[P ← P],passive,passive,FALSE,Before her sisters were,Susan was offered a loan by the bank,Before her sisters were%2C Susan was offered a loan by the bank.
6,5,51,American English,filler,5,B,upper-bound elliptical,NA,NA,NA,,,The lawyer became angry and he shouldn't have.
6,5,51,American English,filler,1,B,upper-bound elliptical,NA,NA,NA,,,The reporter claimed that the decision wasn't made by the president%2C even though it most definitely was.
6,2,51,American English,experimental,22,B,[A ← A],active,active,FALSE,After Sandra did already,Kate revealed the secret recipe,After Sandra did already%2C Kate revealed the secret recipe.
6,3,51,American English,filler,42,B,lower-bound non-elliptical,NA,NA,NA,,,Claire isn't as fast anymore as the reporter remembers who was five years ago.
6,5,51,American English,filler,35,B,upper-bound non-elliptical,NA,NA,NA,,,Some people's handwriting is so bad that they can't read it themselves.
6,2,51,American English,experimental,23,B,[P ← P],passive,passive,FALSE,After the records office was previously,the library was called by the department head,After the records office was previously%2C the library was called by the department head.
6,5,51,American English,filler,8,B,upper-bound elliptical,NA,NA,NA,,,Somebody else should take out the garbage because I can't today.
6,5,51,American English,filler,26,B,upper-bound non-elliptical,NA,NA,NA,,,Since you're not answering my question%2C I will assume that you don't know the answer.
6,2,51,American English,experimental,15,B,[P ← P],passive,passive,FALSE,After the CEO was on Monday,the accountant was investigated by the IRS on Tuesday,After the CEO was on Monday%2C the accountant was investigated by the IRS on Tuesday.
6,1,51,American English,filler,48,B,lower-bound non-elliptical,NA,NA,NA,,,The author wasn't sure who she heard who ran into.
6,4,51,American English,filler,29,B,upper-bound non-elliptical,NA,NA,NA,,,Good coaches know which players play well under pressure.
6,2,51,American English,experimental,14,B,[A ← A],active,active,FALSE,After Immigration did previously,Customs questioned the student,After Immigration did previously%2C Customs questioned the student.
6,2,51,American English,filler,14,B,lower-bound elliptical,NA,NA,NA,,,Even in areas where tap water is potable%2C one shouldn't.
6,2,51,American English,filler,24,B,lower-bound elliptical,NA,NA,NA,,,Hailey melted the copper vase%2C and the magnesium one did%2C too.
6,2,51,American English,experimental,12,B,[A ← P],active,passive,TRUE,Before the insurance company did,the doctor was blamed by the child’s parents,Before the insurance company did%2C the doctor was blamed by the child’s parents.
6,4,51,American English,filler,9,B,upper-bound elliptical,NA,NA,NA,,,Bob's always wanted to travel to Bolivia and now he finally did.
2,4,24,British English,filler,48,C,lower-bound non-elliptical,NA,NA,NA,,,The author wasn't sure who she heard who ran into.
2,2,24,British English,experimental,12,C,[P ← A],passive,active,TRUE,Before the head nurse was,the child’s parents blamed the doctor,Before the head nurse was%2C the child’s parents blamed the doctor.
2,5,24,British English,filler,32,C,upper-bound non-elliptical,NA,NA,NA,,,The cellist made a mistake in her favorite piece.
2,4,24,British English,filler,9,C,upper-bound elliptical,NA,NA,NA,,,Bob's always wanted to travel to Bolivia and now he finally did.
2,5,24,British English,experimental,22,C,[P ← P],passive,passive,FALSE,After the chef’s private notes were already,the secret recipe was revealed by Kate,After the chef’s private notes were already%2C the secret recipe was revealed by Kate.
2,5,24,British English,filler,8,C,upper-bound elliptical,NA,NA,NA,,,Somebody else should take out the garbage because I can't today.
2,5,24,British English,filler,2,C,upper-bound elliptical,NA,NA,NA,,,The thief was arrested and his brother was as well.
2,3,24,British English,experimental,3,C,[A ← P],active,passive,TRUE,Before the President did,the fireman was first praised by the Mayor,Before the President did%2C the fireman was first praised by the Mayor.
2,1,24,British English,filler,38,C,lower-bound non-elliptical,NA,NA,NA,,,Whose didn't you get email?
2,5,24,British English,filler,29,C,upper-bound non-elliptical,NA,NA,NA,,,Good coaches know which players play well under pressure.
2,2,24,British English,experimental,10,C,[P ← P],passive,passive,FALSE,Before the Chief of Police was,the Mayor was interviewed by the newspapers,Before the Chief of Police was%2C the Mayor was interviewed by the newspapers.
2,5,24,British English,filler,7,C,upper-bound elliptical,NA,NA,NA,,,Your son was worried that you'll be angry so I told him you won't.
2,5,24,British English,filler,27,C,upper-bound non-elliptical,NA,NA,NA,,,Stop me when my time is up!
2,5,24,British English,experimental,21,C,[A ← A],active,active,FALSE,After Thorpe did previously,Phelps broke the 400 meter record,After Thorpe did previously%2C Phelps broke the 400 meter record.
2,5,24,British English,filler,3,C,upper-bound elliptical,NA,NA,NA,,,I wish I knew where the remote control is%2C but I don't.
2,2,24,British English,filler,40,C,lower-bound non-elliptical,NA,NA,NA,,,What did you meet a janitor that hates?
2,1,24,British English,experimental,7,C,[A ← P],active,passive,TRUE,Before the credit union did,Susan was offered a loan by the bank,Before the credit union did%2C Susan was offered a loan by the bank.
2,1,24,British English,filler,23,C,lower-bound elliptical,NA,NA,NA,,,Joe was murdered%2C but we don't know who.
2,2,24,British English,filler,14,C,lower-bound elliptical,NA,NA,NA,,,Even in areas where tap water is potable%2C one shouldn't.
2,2,24,British English,experimental,6,C,[P ← P],passive,passive,FALSE,Before her sister was,Mary was given French classes by her French grandmother,Before her sister was%2C Mary was given French classes by her French grandmother.
2,1,24,British English,filler,20,C,lower-bound elliptical,NA,NA,NA,,,Does he understand why and who didn't?
2,1,24,British English,filler,13,C,lower-bound elliptical,NA,NA,NA,,,A proof that God exists doesn't.
2,2,24,British English,experimental,2,C,[P ← P],passive,passive,FALSE,Before the confession was,the report was first read by the judge,Before the confession was%2C the report was first read by the judge.
2,1,24,British English,filler,46,C,lower-bound non-elliptical,NA,NA,NA,,,What do you wish that to buy would be no problem?
2,4,24,British English,filler,21,C,lower-bound elliptical,NA,NA,NA,,,Betsy did after Peter went to the store.
2,3,24,British English,experimental,23,C,[A ← P],active,passive,TRUE,After the department secretary did previously,the library was called by the department head,After the department secretary did previously%2C the library was called by the department head.
2,1,24,British English,filler,41,C,lower-bound non-elliptical,NA,NA,NA,,,The police found the painting that the journalist claimed who stole.
2,5,24,British English,filler,35,C,upper-bound non-elliptical,NA,NA,NA,,,Some people's handwriting is so bad that they can't read it themselves.
2,1,24,British English,experimental,14,C,[P ← P],passive,passive,FALSE,After his friend was previously,the student was questioned by Customs,After his friend was previously%2C the student was questioned by Customs.
2,5,24,British English,filler,28,C,upper-bound non-elliptical,NA,NA,NA,,,Sometimes Susan has a hard time keeping up in class.
2,5,24,British English,filler,31,C,upper-bound non-elliptical,NA,NA,NA,,,The soccer player was happy with his performance.
2,1,24,British English,experimental,15,C,[A ← P],active,passive,TRUE,After the police did on Monday,the accountant was investigated by the IRS on Tuesday,After the police did on Monday%2C the accountant was investigated by the IRS on Tuesday.
2,1,24,British English,filler,37,C,lower-bound non-elliptical,NA,NA,NA,,,If it hasn't dark%2C it is easier to saw pedestrians.
2,5,24,British English,filler,30,C,upper-bound non-elliptical,NA,NA,NA,,,The older daughter taught her younger sister how to cook.
2,1,24,British English,experimental,24,C,[P ← A],passive,active,TRUE,After the local paper was already,Tom criticized the local writers,After the local paper was already%2C Tom criticized the local writers.
2,1,24,British English,filler,47,C,lower-bound non-elliptical,NA,NA,NA,,,Don't do what he who doesn't hasn't yet been done.
2,4,24,British English,filler,22,C,lower-bound elliptical,NA,NA,NA,,,That Harry is a fool bothers Dick%2C and that Bill is a fool Sam.
2,1,24,British English,experimental,20,C,[P ← A],passive,active,TRUE,After the garage was previously,Jill photographed the house,After the garage was previously%2C Jill photographed the house.
2,3,24,British English,filler,39,C,lower-bound non-elliptical,NA,NA,NA,,,Most photographers forget whose they took picture within a day.
2,2,24,British English,filler,16,C,lower-bound elliptical,NA,NA,NA,,,Bill admires Sarah more than she is by anyone else.
2,2,24,British English,experimental,17,C,[A ← A],active,active,FALSE,After the club owner himself did earlier,the audience booed the guitarist,After the club owner himself did earlier%2C the audience booed the guitarist.
2,5,24,British English,filler,10,C,upper-bound elliptical,NA,NA,NA,,,If you really want to%2C we can get some ice cream on the way.
2,1,24,British English,filler,24,C,lower-bound elliptical,NA,NA,NA,,,Hailey melted the copper vase%2C and the magnesium one did%2C too.
2,1,24,British English,experimental,4,C,[P ← A],passive,active,TRUE,Before the loser was,the talk-show host hugged the winner,Before the loser was%2C the talk-show host hugged the winner.
2,5,24,British English,filler,12,C,upper-bound elliptical,NA,NA,NA,,,Mr. Jones lost his wallet and he has no idea where.
2,5,24,British English,filler,26,C,upper-bound non-elliptical,NA,NA,NA,,,Since you're not answering my question%2C I will assume that you don't know the answer.
2,1,24,British English,experimental,8,C,[P ← A],passive,active,TRUE,Before the accused was,the policeman’s question surprised the witness,Before the accused was%2C the policeman’s question surprised the witness.
2,5,24,British English,filler,33,C,upper-bound non-elliptical,NA,NA,NA,,,Most readers didn't expect the final plot twist.
2,2,24,British English,filler,18,C,lower-bound elliptical,NA,NA,NA,,,Kevin's diaper may be wet%2C but he won't.
2,3,24,British English,experimental,9,C,[A ← A],active,active,FALSE,Before the big corporations did,the local business exploited the autoworkers,Before the big corporations did%2C the local business exploited the autoworkers.
2,2,24,British English,filler,19,C,lower-bound elliptical,NA,NA,NA,,,I know why it happened but it wasn't.
2,5,24,British English,filler,4,C,upper-bound elliptical,NA,NA,NA,,,Some guests brought drinks to the party although they didn't have to.
2,2,24,British English,experimental,18,C,[P ← P],passive,passive,FALSE,After the chairs were already,the table was criticized by the seller,After the chairs were already%2C the table was criticized by the seller.
2,4,24,British English,filler,5,C,upper-bound elliptical,NA,NA,NA,,,The lawyer became angry and he shouldn't have.
2,5,24,British English,filler,34,C,upper-bound non-elliptical,NA,NA,NA,,,Environmentally aware citizens recycle plastic bags.
2,1,24,British English,experimental,13,C,[A ← A],active,active,FALSE,After John did already,Bill pushed the new girl again,After John did already%2C Bill pushed the new girl again.
2,5,24,British English,filler,11,C,upper-bound elliptical,NA,NA,NA,,,John knew he would fall asleep eventually%2C but he didn't know when.
2,4,24,British English,filler,25,C,upper-bound non-elliptical,NA,NA,NA,,,I can't hear the announcement but I don't care.
2,1,24,British English,experimental,16,C,[P ← A],passive,active,TRUE,After the tennis team was previously,the Cubans beat the volleyball team,After the tennis team was previously%2C the Cubans beat the volleyball team.
2,1,24,British English,filler,42,C,lower-bound non-elliptical,NA,NA,NA,,,Claire isn't as fast anymore as the reporter remembers who was five years ago.
2,4,24,British English,filler,43,C,lower-bound non-elliptical,NA,NA,NA,,,Who did the press secretary ask a question before we interviewed?
2,2,24,British English,experimental,1,C,[A ← A],active,active,FALSE,Before her mother did,Mary’s father scolded her,Before her mother did%2C Mary’s father scolded her.
2,5,24,British English,filler,36,C,upper-bound non-elliptical,NA,NA,NA,,,You enjoy Action TV shows while I prefer documentaries.
2,1,24,British English,filler,44,C,lower-bound non-elliptical,NA,NA,NA,,,The man wondered whether is worth reading what for him.
2,2,24,British English,experimental,11,C,[A ← P],active,passive,TRUE,Before the lawyer did,the suspect was questioned by the police,Before the lawyer did%2C the suspect was questioned by the police.
2,5,24,British English,filler,1,C,upper-bound elliptical,NA,NA,NA,,,The reporter claimed that the decision wasn't made by the president%2C even though it most definitely was.
2,5,24,British English,filler,6,C,upper-bound elliptical,NA,NA,NA,,,This is fascinating%2C it really is.
2,3,24,British English,experimental,19,C,[A ← P],active,passive,TRUE,After the critic did already,the dessert was praised by the customer,After the critic did already%2C the dessert was praised by the customer.
2,1,24,British English,filler,45,C,lower-bound non-elliptical,NA,NA,NA,,,The mechanic didn't know what the attempt to repair ultimately damaged the car.
